id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	impermanent_loss	wallet	open_price	close_price	open_date	close_date
10787920	-68000	-66000	2000	36681.165	1.782	36536.694305	1.7838864	173229.95541301923	24218.6807773073	7.36	89.53	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744176613	1745326800
10788187	-68000	-66000	2000	36492.767159	1.782	36380.723169	1.78346321	173041.55757201923	24212.93446597259	7.36	89.60	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177059	1745326800
10788691	-68000	-66000	2000	37100.656688	1.782	36871.01811	1.7849975	173649.4471010192	24233.7374706193	7.35	89.36	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177959	1745326800
10788154	-68000	-66000	2000	36904.251411	1.77763818	36888.436496	1.7778446	173118.80992446854	24136.579846326087	7.34	89.28	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177023	1745326800
10806319	-68000	-66000	2000	34914.516102	1.782	34764.159138	1.78396635	171723.01284277864	23960.29991205372	7.34	89.35	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744202847	1745326800
10788651	-68000	-66000	2000	37100.656688	1.782	37100.656687	1.78199999	173649.4471010192	24192.991591007805	7.33	89.21	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177873	1745326800
10668497	-68000	-66000	2000	37443.21374	1.782	37403.594974	1.78251693	173254.9885409069	24937.017987646483	7.32	89.04	0	0.00		76213.11717222609508187016703963076	90203.02071103097894253410031531367	1744019033	1745326800
10772602	-68000	-66000	2000	34346.342232	1.782	34346.342231	1.78199999	171016.4563564185	24071.667879608525	7.28	88.58	0	0.00		76694.78907094191479495877472173798	90203.02071103097894253410031531367	1744152229	1745326800
10787867	-68000	-66000	2000	38917.308892	1.782	38788.579672	1.78367758	175466.09930501922	24215.5860575224	7.26	88.37	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744176481	1745326800
10763403	-68000	-66000	2000	34479.943015	1.782	34456.989914	1.78230027	171209.4853749126	24016.372707173512	7.26	88.28	0	0.00		76728.13824910918835535749891674853	90203.02071103097894253410031531367	1744141491	1745326800
